# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.03948527 0.97263428 0.00928733 0.22877329 0.44587886 0.07257956 6.89244747 1 view_001.jpg

2 0.00519537 -0.82542589 0.00355291 -0.56447541 0.93215257 -0.00456695 6.36277771 2 view_002.jpg

3 0.36535608 0.91353591 0.06639307 0.16600913 0.35191953 0.64566153 6.67809343 3 view_003.jpg

4 0.26777098 -0.93244667 0.06695389 -0.23315036 0.47078377 -0.46826956 6.74807978 4 view_004.jpg

5 0.18102167 0.66237955 0.19164554 0.70125350 0.99864405 -0.02898187 5.95093584 5 view_005.jpg

6 0.13521476 0.98011624 -0.01984641 -0.14385845 -0.28744006 0.25941178 6.92229176 6 view_006.jpg

7 0.24604422 -0.70402776 0.21978479 -0.62888934 0.99393153 -0.07002211 6.08794403 7 view_007.jpg

8 0.50598965 0.63556877 0.36319101 0.45620073 0.94769019 0.31189033 6.07173014 8 view_008.jpg

9 0.28773268 -0.94358210 -0.04780539 0.15677172 -0.32345101 -0.52815145 6.78547525 9 view_009.jpg

10 0.00231686 0.50085962 0.00400368 0.86551617 0.86725557 -0.00461089 5.50161839 10 view_010.jpg

11 0.34685010 0.84297266 -0.15646854 -0.38027582 -0.74986774 0.46589285 6.47029638 11 view_011.jpg

12 0.54629144 -0.69420765 0.28982404 -0.36829803 0.82822978 -0.54514247 6.13187933 12 view_012.jpg

13 0.11226966 0.24769063 0.39727781 0.87647888 0.52353621 -0.64096719 5.43820953 13 view_013.jpg

14 0.07313464 -0.88974983 -0.03690943 0.44903702 -0.80467612 -0.09702174 6.58619213 14 view_014.jpg

15 0.10614523 -0.33230355 0.28516221 -0.89274299 0.65403652 0.43872592 5.38332081 15 view_015.jpg

16 0.27463763 0.48268816 -0.41125994 -0.72280812 -0.92392498 -0.32948372 5.80419207 16 view_016.jpg

17 0.39988638 -0.69420778 -0.29872244 0.51858590 -0.95918059 -0.24544792 6.14235735 17 view_017.jpg

18 0.01409809 0.14886182 0.09322409 0.98435292 0.29577297 -0.17938159 5.06144905 18 view_018.jpg

19 0.08733452 0.72690059 -0.08125541 -0.67630302 -0.99767101 0.01706507 6.06999302 19 view_019.jpg

20 0.03733870 -0.07135145 -0.46215147 0.88313691 -0.16058165 0.81117588 5.43719864 20 view_020.jpg

21 0.06151783 0.21850518 -0.26392915 -0.93744997 -0.44226709 -0.46808273 5.23460054 21 view_021.jpg

22 0.14083887 -0.61800635 -0.17185818 0.75412024 -0.98077428 0.08514787 5.82288647 22 view_022.jpg

23 0.01575073 -0.10991280 -0.14097611 0.98376665 -0.22075731 0.27398628 5.06365871 23 view_023.jpg

24 0.01173733 0.43091117 -0.02456860 -0.90198347 -0.77813524 -0.03421461 5.37240791 24 view_024.jpg

