# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.05553896 -0.96150451 0.01551907 0.26867015 0.51838052 0.09846321 6.84946775 1 view_001.jpg

2 0.02240631 -0.86347382 0.01307120 0.50372617 0.87049806 0.02552600 6.49151802 2 view_002.jpg

3 0.28074107 -0.92674978 0.07237519 0.23891657 0.48347136 0.48577240 6.72820950 3 view_003.jpg

4 0.15455609 0.94612302 0.04587383 -0.28081888 0.54556102 -0.26669455 6.79450989 4 view_004.jpg

5 0.17918622 -0.77128375 0.13820952 0.59490487 0.96721536 0.11196408 6.22796154 5 view_005.jpg

6 0.13743834 -0.99027189 0.00298757 0.02152605 0.04345468 0.27207521 6.96129942 6 view_006.jpg

7 0.16893503 0.81487249 0.11255765 -0.54293144 0.92287332 -0.15309952 6.35337400 7 view_007.jpg

8 0.42351278 -0.79833566 0.20063761 0.37820846 0.77382290 0.52444738 6.35519266 8 view_008.jpg

9 0.18154472 0.98261309 0.00706702 -0.03825036 0.07773685 -0.35623688 6.93116093 9 view_009.jpg

10 0.03157250 -0.68133220 0.03385134 0.73050921 0.99758065 -0.00643467 5.93071842 10 view_010.jpg

11 0.35610512 -0.93074085 -0.02970586 -0.07764128 -0.16568530 0.65827304 6.73432446 11 view_011.jpg

12 0.36252281 0.84620873 0.15378497 -0.35896823 0.71902823 -0.50313437 6.47943974 12 view_012.jpg

13 0.27011297 -0.59531757 0.31266967 0.68911077 0.98939580 -0.10932247 5.90433025 13 view_013.jpg

14 0.01908620 0.98531071 -0.00328663 0.16966945 -0.33448139 -0.03649655 6.94169950 14 view_014.jpg

15 0.14216672 0.64113425 0.16326054 -0.73626184 0.99050993 0.05810942 5.87541389 15 view_015.jpg

16 0.59356032 -0.80399996 -0.02116803 -0.02867289 -0.07123529 0.95323479 6.29372978 16 view_016.jpg

17 0.40608949 0.91377083 -0.00433964 0.00976494 -0.02137050 -0.74206400 6.66999531 17 view_017.jpg

18 0.09261220 -0.51211374 0.15195884 0.84028032 0.88878816 -0.16052079 5.57070208 18 view_018.jpg

19 0.21342945 -0.92580328 -0.07008553 -0.30401344 -0.59283215 0.35257503 6.72405195 19 view_019.jpg

20 0.34575868 0.63675333 0.32887955 -0.60566853 0.99875277 -0.04194193 6.02723312 20 view_020.jpg

21 0.23833477 -0.33334393 0.53053764 0.74202977 0.74759644 -0.62845701 5.78517628 21 view_021.jpg

22 0.21364849 0.93354791 -0.06421030 0.28057022 -0.55129039 -0.36287281 6.75127268 22 view_022.jpg

23 0.05250984 0.47010455 0.09780318 -0.87560206 0.83352381 0.12190370 5.46112490 23 view_023.jpg

24 0.41145398 -0.77143463 -0.22842395 -0.42827181 -0.84874284 0.43916652 6.29457808 24 view_024.jpg

25 0.60802749 0.79307420 0.02223806 -0.02900598 0.07305079 -0.96313578 6.25892401 25 view_025.jpg

26 0.10432922 -0.30947048 0.30194048 0.89564244 0.61735475 -0.47628954 5.37387753 26 view_026.jpg

27 0.02681975 -0.89786958 -0.01312052 -0.43924796 -0.78948152 0.03663510 6.61268663 27 view_027.jpg

28 0.17148305 0.39597354 0.35849913 -0.82781452 0.77854151 0.45773825 5.57063150 28 view_028.jpg

29 0.22099113 -0.30920742 -0.53783043 -0.75252384 -0.70308620 -0.67279887 5.76974058 29 view_029.jpg

30 0.37453813 0.81971172 -0.18009584 0.39415654 -0.78109837 -0.47205660 6.40872478 30 view_030.jpg

31 0.00840078 -0.29530608 0.02716695 0.95497943 0.56448096 -0.04692632 5.17588377 31 view_031.jpg

32 0.21547665 -0.77390388 -0.15973331 -0.57369667 -0.95681381 0.15023991 6.24888515 32 view_032.jpg

33 0.07962279 0.09915164 0.62105628 -0.77338106 0.25226545 0.94484067 5.79108286 33 view_033.jpg

34 0.01186537 -0.02775420 0.39292023 0.91907704 0.06034100 -0.72159231 5.31031036 34 view_034.jpg

35 0.13455895 0.81766720 -0.09089158 0.55231600 -0.92768562 -0.11964763 6.35368347 35 view_035.jpg

36 0.05432596 0.21361673 0.24040794 -0.94531508 0.42999288 0.43131441 5.20685339 36 view_036.jpg

37 0.22633809 -0.52385311 -0.32570452 -0.75383390 -0.93723905 -0.25391906 5.76101065 37 view_037.jpg

38 0.34973059 0.57919166 -0.38062545 0.63035689 -0.99643183 0.07473803 5.96067810 38 view_038.jpg

39 0.01096789 -0.08284106 0.13079234 0.98788179 0.16654417 -0.25659883 5.04793453 39 view_039.jpg

40 0.04354134 -0.72936352 -0.04068555 -0.68152600 -0.99770743 0.00805840 6.06725359 40 view_040.jpg

41 0.00797140 0.01670704 -0.43054950 0.90237712 -0.03701644 0.77677286 5.37130117 41 view_041.jpg

42 0.08492771 -0.25529634 -0.30401581 -0.91388481 -0.51826370 -0.51230919 5.31520081 42 view_042.jpg

43 0.19242582 0.65123022 -0.20801516 0.70398949 -0.99697745 0.04225382 5.93474197 43 view_043.jpg

44 0.00106773 0.00986402 0.10761087 -0.99414358 0.01984238 0.21394122 5.02335024 44 view_044.jpg

45 0.08955257 -0.54960498 -0.13357807 -0.81979973 -0.92506051 -0.12057808 5.63981676 45 view_045.jpg

46 0.14321392 0.33965565 -0.36116157 0.85655480 -0.68531674 0.52142459 5.49160528 46 view_046.jpg

47 0.01807755 -0.17982327 -0.09837830 -0.97860028 -0.35550877 -0.18604524 5.08402586 47 view_047.jpg

48 0.05511859 0.55910412 -0.08116129 0.82327235 -0.92954063 0.07200188 5.63836765 48 view_048.jpg

49 0.04328169 0.21475631 -0.19276695 0.95647652 -0.42750731 0.35016572 5.16655540 49 view_049.jpg

50 0.00171863 -0.37233139 -0.00428393 -0.92808837 -0.69113010 -0.00667196 5.27729511 50 view_050.jpg

