# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 -0.026052 -0.823647 0.679074 102 102 102 1.0
2 0.583166 -0.711423 0.846205 102 102 102 1.0
3 0.062124 1.000000 1.003859 102 102 102 1.0
4 -0.547094 0.198397 0.338673 102 102 102 1.0
5 -0.691383 -0.703407 0.972791 102 102 102 1.0
6 -0.759519 -0.042084 0.578640 102 102 102 1.0
7 0.414830 0.326653 0.278786 102 102 102 1.0
8 0.038076 0.751503 0.566207 102 102 102 1.0
9 0.102204 0.058116 0.013823 102 102 102 1.0
10 -0.290581 0.799599 0.723796 102 102 102 1.0
11 0.935872 0.378758 1.019313 102 102 102 1.0
12 0.863727 0.643287 1.159843 102 102 102 1.0
13 -0.855711 0.847695 1.450830 102 102 102 1.0
14 -0.422846 -0.879759 0.952775 102 102 102 1.0
15 0.759519 -0.414830 0.748953 102 102 102 1.0
16 0.490982 -0.519038 0.510464 102 102 102 1.0
17 -0.254509 -0.959920 0.986221 102 102 102 1.0
18 0.434870 -0.070140 0.194031 102 102 102 1.0
19 -0.867735 0.354709 0.878784 102 102 102 1.0
20 -1.000000 0.394790 1.155859 102 102 102 1.0
21 -0.839679 -0.190381 0.741306 102 102 102 1.0
22 -0.370741 -0.867735 0.890414 102 102 102 1.0
23 -0.711423 -0.555110 0.814270 102 102 102 1.0
24 -0.755511 -0.603206 0.934655 102 102 102 1.0
25 -0.242485 0.090180 0.066931 102 102 102 1.0
26 -0.959920 -0.486974 1.158590 102 102 102 1.0
27 -0.466934 -0.458918 0.428633 102 102 102 1.0
28 -0.118236 -0.090180 0.022112 102 102 102 1.0
29 0.791583 0.154309 0.650415 102 102 102 1.0
30 -0.695391 0.587174 0.828342 102 102 102 1.0
31 0.342685 0.426854 0.299637 102 102 102 1.0
32 -0.062124 -0.182365 0.037116 102 102 102 1.0
33 0.759519 0.547094 0.876181 102 102 102 1.0
34 -0.158317 0.038076 0.026514 102 102 102 1.0
35 -0.779559 0.779559 1.215425 102 102 102 1.0
36 0.955912 0.671343 1.364468 102 102 102 1.0
37 -0.831663 -0.815631 1.356918 102 102 102 1.0
38 -0.418838 0.054108 0.178353 102 102 102 1.0
39 0.242485 0.426854 0.241003 102 102 102 1.0
40 0.466934 0.763527 0.801001 102 102 102 1.0
41 0.951904 0.410822 1.074895 102 102 102 1.0
42 -0.507014 -0.058116 0.260441 102 102 102 1.0
43 -0.707415 0.106212 0.511717 102 102 102 1.0
44 -0.382766 -0.715431 0.658351 102 102 102 1.0
45 0.675351 -0.042084 0.457870 102 102 102 1.0
46 0.222445 0.987976 1.025578 102 102 102 1.0
47 0.719439 0.294589 0.604375 102 102 102 1.0
48 0.482966 0.342685 0.350689 102 102 102 1.0
49 -0.030060 -0.058116 0.004281 102 102 102 1.0
50 -0.218437 0.539078 0.338320 102 102 102 1.0
51 0.310621 -0.106212 0.107767 102 102 102 1.0
52 -0.194389 -0.462926 0.252087 102 102 102 1.0
53 -0.414830 -0.314629 0.271075 102 102 102 1.0
54 -0.030060 0.014028 0.001100 102 102 102 1.0
55 -0.182365 -0.539078 0.323862 102 102 102 1.0
56 -0.859719 0.611222 1.112710 102 102 102 1.0
57 -0.466934 -1.000000 1.218027 102 102 102 1.0
58 -0.362725 -0.839679 0.836631 102 102 102 1.0
59 0.519038 -0.130261 0.286368 102 102 102 1.0
60 -0.799599 0.474950 0.864936 102 102 102 1.0
61 -0.963928 -0.402806 1.091409 102 102 102 1.0
62 -0.238477 0.286573 0.138995 102 102 102 1.0
63 0.963928 0.066132 0.933530 102 102 102 1.0
64 0.511022 -0.222445 0.310625 102 102 102 1.0
65 -0.811623 0.186373 0.693467 102 102 102 1.0
66 -0.074148 0.482966 0.238754 102 102 102 1.0
67 0.571142 -0.771543 0.921482 102 102 102 1.0
68 -0.935872 0.783567 1.489833 102 102 102 1.0
69 -0.190381 -0.987976 1.012341 102 102 102 1.0
70 -0.098196 0.523046 0.283220 102 102 102 1.0
71 -0.386774 0.963928 1.078751 102 102 102 1.0
72 -0.402806 0.711423 0.668375 102 102 102 1.0
73 -0.855711 -0.963928 1.661399 102 102 102 1.0
74 -0.751503 -0.262525 0.633676 102 102 102 1.0
75 0.667335 -0.098196 0.454978 102 102 102 1.0
76 -0.587174 -0.250501 0.407524 102 102 102 1.0
77 -0.006012 0.438878 0.192650 102 102 102 1.0
78 0.755511 -0.843687 1.282605 102 102 102 1.0
79 0.094188 0.543086 0.303814 102 102 102 1.0
80 0.014028 0.831663 0.691861 102 102 102 1.0
81 0.338677 0.242485 0.173501 102 102 102 1.0
82 0.250501 -0.294589 0.149534 102 102 102 1.0
83 -0.703407 0.871744 1.254718 102 102 102 1.0
84 -0.318637 -0.771543 0.696808 102 102 102 1.0
85 -0.434870 0.314629 0.288103 102 102 102 1.0
86 0.398798 -0.410822 0.327814 102 102 102 1.0
87 -0.511022 -0.623246 0.649580 102 102 102 1.0
88 0.959920 -0.839679 1.626508 102 102 102 1.0
89 -0.891784 -0.759519 1.372147 102 102 102 1.0
90 -0.559118 0.046092 0.314738 102 102 102 1.0
91 0.322645 0.627254 0.497548 102 102 102 1.0
92 -0.527054 -0.406814 0.443283 102 102 102 1.0
93 -0.535070 0.154309 0.310111 102 102 102 1.0
94 0.306613 0.855711 0.826254 102 102 102 1.0
95 0.659319 0.523046 0.708278 102 102 102 1.0
96 -0.891784 -0.655311 1.224710 102 102 102 1.0
97 -0.238477 -0.434870 0.245983 102 102 102 1.0
98 0.122244 -0.474950 0.240521 102 102 102 1.0
99 -0.358717 -0.763527 0.711652 102 102 102 1.0
100 -0.038076 -0.434870 0.190561 102 102 102 1.0
101 0.102204 -0.947896 0.908952 102 102 102 1.0
102 0.050100 0.583166 0.342593 102 102 102 1.0
103 0.859719 -0.318637 0.840647 102 102 102 1.0
104 -0.823647 0.947896 1.576901 102 102 102 1.0
105 0.779559 -0.346693 0.727909 102 102 102 1.0
106 0.591182 -0.114228 0.362545 102 102 102 1.0
107 -0.350701 -0.951904 1.029112 102 102 102 1.0
108 -0.186373 -0.234469 0.089710 102 102 102 1.0
109 0.026052 0.923848 0.854173 102 102 102 1.0
110 -0.038076 -0.663327 0.441452 102 102 102 1.0
111 0.070140 0.286573 0.087044 102 102 102 1.0
112 0.775551 0.515030 0.866735 102 102 102 1.0
113 -0.547094 -0.951904 1.205433 102 102 102 1.0
114 -0.731463 -0.747495 1.093787 102 102 102 1.0
115 0.747495 -0.354709 0.684568 102 102 102 1.0
116 0.410822 -0.030060 0.169678 102 102 102 1.0
117 -0.306613 -0.054108 0.096939 102 102 102 1.0
118 -0.535070 0.931864 1.154670 102 102 102 1.0
119 0.731463 -0.647295 0.954028 102 102 102 1.0
120 -0.254509 0.146293 0.086176 102 102 102 1.0
121 0.875751 -0.286573 0.849065 102 102 102 1.0
122 0.370741 0.879759 0.911426 102 102 102 1.0
123 -0.406814 -0.310621 0.261983 102 102 102 1.0
124 0.478958 0.891784 1.024679 102 102 102 1.0
125 0.627254 0.434870 0.582560 102 102 102 1.0
126 0.298597 -0.318637 0.190690 102 102 102 1.0
127 -0.775551 -0.871744 1.361416 102 102 102 1.0
128 0.527054 -0.851703 1.003185 102 102 102 1.0
129 -0.803607 0.234469 0.700760 102 102 102 1.0
130 -0.066132 -0.234469 0.059349 102 102 102 1.0
131 0.775551 0.899800 1.411119 102 102 102 1.0
132 0.711423 -0.655311 0.935555 102 102 102 1.0
133 -0.018036 0.422846 0.179124 102 102 102 1.0
134 -0.559118 -0.338677 0.427316 102 102 102 1.0
135 -0.871744 -0.082164 0.766688 102 102 102 1.0
136 0.871744 -0.438878 0.952550 102 102 102 1.0
137 0.454910 -0.811623 0.865675 102 102 102 1.0
138 0.919840 0.358717 0.974783 102 102 102 1.0
139 -0.318637 -0.058116 0.104907 102 102 102 1.0
140 -0.803607 0.414830 0.817868 102 102 102 1.0
141 -0.523046 0.623246 0.662013 102 102 102 1.0
142 0.170341 0.815631 0.694270 102 102 102 1.0
143 -0.414830 0.246493 0.232842 102 102 102 1.0
144 0.238477 0.675351 0.512970 102 102 102 1.0
145 0.959920 -0.911824 1.752868 102 102 102 1.0
146 -0.967936 -0.342685 1.054333 102 102 102 1.0
147 0.703407 -0.791583 1.121385 102 102 102 1.0
148 0.382766 0.935872 1.022365 102 102 102 1.0
149 0.294589 -0.282565 0.166626 102 102 102 1.0
150 -0.294589 0.114228 0.099831 102 102 102 1.0
151 0.735471 0.707415 1.041353 102 102 102 1.0
152 -0.887776 0.843687 1.499954 102 102 102 1.0
153 -0.094188 -0.963928 0.938028 102 102 102 1.0
154 -0.695391 0.707415 0.984004 102 102 102 1.0
155 0.967936 -0.026052 0.937579 102 102 102 1.0
156 -0.635271 -0.106212 0.414850 102 102 102 1.0
157 -0.595190 -0.663327 0.794254 102 102 102 1.0
158 -0.971944 0.110220 0.956823 102 102 102 1.0
