# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 0.51342418 -0.32708728 -0.42626844 -0.66910742 0.00000000 -0.90630779 -5.27236052 1 view_001.jpg

2 0.32275193 -0.20561566 -0.49640011 -0.77919209 -0.00000000 -0.90630779 -5.27236052 1 view_002.jpg

3 0.73039842 -0.46531511 0.26864980 0.42169572 -0.00000000 -0.90630779 -5.27236052 1 view_003.jpg

4 0.59636781 -0.37992820 -0.37992820 -0.59636781 0.00000000 -0.90630779 -5.27236052 1 view_004.jpg

5 0.77919209 -0.49640011 0.20561566 0.32275193 -0.00000000 -0.90630779 -5.27236052 1 view_005.jpg

6 0.59636781 -0.37992820 0.37992820 0.59636781 0.00000000 -0.90630779 -5.27236052 1 view_006.jpg

7 0.81465358 -0.51899157 -0.13906337 -0.21828577 0.00000000 -0.90630779 -5.27236052 1 view_007.jpg

8 0.00000000 0.00000000 0.53729961 0.84339145 0.00000000 -0.90630779 -5.27236052 1 view_008.jpg

9 0.84339145 -0.53729961 0.00000000 0.00000000 0.00000000 -0.90630779 -5.27236052 1 view_009.jpg

10 0.42169572 -0.26864980 -0.46531511 -0.73039842 0.00000000 -0.90630779 -5.27236052 1 view_010.jpg

11 0.83617612 -0.53270294 0.07013167 0.11008467 0.00000000 -0.90630779 -5.27236052 1 view_011.jpg

12 0.81465358 -0.51899157 0.13906337 0.21828577 0.00000000 -0.90630779 -5.27236052 1 view_012.jpg

13 0.42169572 -0.26864980 0.46531511 0.73039842 0.00000000 -0.90630779 -5.27236052 1 view_013.jpg

14 0.66910742 -0.42626844 0.32708728 0.51342418 0.00000000 -0.90630779 -5.27236052 1 view_014.jpg

15 0.11008467 -0.07013167 -0.53270294 -0.83617612 -0.00000000 -0.90630779 -5.27236052 1 view_015.jpg

16 0.21828577 -0.13906337 -0.51899157 -0.81465358 -0.00000000 -0.90630779 -5.27236052 1 view_016.jpg

17 0.73039842 -0.46531511 -0.26864980 -0.42169572 0.00000000 -0.90630779 -5.27236052 1 view_017.jpg

18 0.21828577 -0.13906337 0.51899157 0.81465358 -0.00000000 -0.90630779 -5.27236052 1 view_018.jpg

19 0.11008467 -0.07013167 0.53270294 0.83617612 -0.00000000 -0.90630779 -5.27236052 1 view_019.jpg

20 0.77919209 -0.49640011 -0.20561566 -0.32275193 0.00000000 -0.90630779 -5.27236052 1 view_020.jpg

21 0.51342418 -0.32708728 0.42626844 0.66910742 0.00000000 -0.90630779 -5.27236052 1 view_021.jpg

22 0.83617612 -0.53270294 -0.07013167 -0.11008467 -0.00000000 -0.90630779 -5.27236052 1 view_022.jpg

23 0.66910742 -0.42626844 -0.32708728 -0.51342418 0.00000000 -0.90630779 -5.27236052 1 view_023.jpg

24 0.32275193 -0.20561566 0.49640011 0.77919209 0.00000000 -0.90630779 -5.27236052 1 view_024.jpg

