# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
1 0.391391 0.357357 0.280892 102 102 102 1.0
2 0.531532 -0.183183 0.316082 102 102 102 1.0
3 -0.957958 -0.393393 1.072442 102 102 102 1.0
4 0.917918 0.851852 1.568225 102 102 102 1.0
5 -0.713714 -0.381381 0.654839 102 102 102 1.0
6 -0.995996 0.193193 1.029332 102 102 102 1.0
7 -0.851852 0.775776 1.327480 102 102 102 1.0
8 -0.475475 -0.055055 0.229108 102 102 102 1.0
9 0.589590 -0.435435 0.537220 102 102 102 1.0
10 -0.229229 0.855856 0.785035 102 102 102 1.0
11 -0.251251 0.603604 0.427465 102 102 102 1.0
12 -0.707708 -0.117117 0.514567 102 102 102 1.0
13 0.689690 -0.559560 0.788779 102 102 102 1.0
14 0.765766 0.441441 0.781268 102 102 102 1.0
15 0.079079 -0.343343 0.124138 102 102 102 1.0
16 0.087087 0.843844 0.719657 102 102 102 1.0
17 -0.297297 -0.323323 0.192924 102 102 102 1.0
18 0.265265 -0.801802 0.713252 102 102 102 1.0
19 0.969970 -0.751752 1.505972 102 102 102 1.0
20 -0.313313 -0.441441 0.293036 102 102 102 1.0
21 0.341341 0.799800 0.756194 102 102 102 1.0
22 0.753754 -0.051051 0.570751 102 102 102 1.0
23 0.681682 -0.875876 1.231848 102 102 102 1.0
24 0.893894 0.001001 0.799047 102 102 102 1.0
25 0.771772 0.493493 0.839167 102 102 102 1.0
26 -0.365365 0.261261 0.201749 102 102 102 1.0
27 0.911912 -0.251251 0.894711 102 102 102 1.0
28 -0.469469 -0.153153 0.243857 102 102 102 1.0
29 -0.963964 -0.331331 1.039007 102 102 102 1.0
30 -0.921922 -0.219219 0.897997 102 102 102 1.0
31 -0.529530 -0.125125 0.296058 102 102 102 1.0
32 -0.373373 0.621622 0.525821 102 102 102 1.0
33 0.157157 0.695696 0.508691 102 102 102 1.0
34 -0.253253 -0.543544 0.359577 102 102 102 1.0
35 -0.841842 -0.681682 1.173388 102 102 102 1.0
36 -0.765766 -0.483483 0.820153 102 102 102 1.0
37 0.393393 0.023023 0.155288 102 102 102 1.0
38 -0.637638 -0.673674 0.860418 102 102 102 1.0
39 0.757758 -0.877878 1.344866 102 102 102 1.0
40 -0.113113 -0.401401 0.173918 102 102 102 1.0
41 0.513514 -0.399399 0.423216 102 102 102 1.0
42 0.941942 0.911912 1.718838 102 102 102 1.0
43 -0.077077 0.025025 0.006567 102 102 102 1.0
44 -0.257257 -0.785786 0.683641 102 102 102 1.0
45 -0.367367 -0.207207 0.177894 102 102 102 1.0
46 0.273273 -0.745746 0.630815 102 102 102 1.0
47 -0.901902 0.591592 1.163408 102 102 102 1.0
48 -0.761762 0.139139 0.599641 102 102 102 1.0
49 -0.515516 0.923924 1.119392 102 102 102 1.0
50 -0.469469 0.251251 0.283529 102 102 102 1.0
51 0.389389 0.041041 0.153308 102 102 102 1.0
52 -0.401401 0.643644 0.575400 102 102 102 1.0
53 -0.299299 0.065065 0.093814 102 102 102 1.0
54 0.295295 -0.475475 0.313276 102 102 102 1.0
55 0.281281 -0.423423 0.258407 102 102 102 1.0
56 0.375375 -0.057057 0.144162 102 102 102 1.0
57 0.273273 0.891892 0.870149 102 102 102 1.0
58 0.179179 0.425425 0.213092 102 102 102 1.0
59 -0.201201 -0.545546 0.338102 102 102 102 1.0
60 0.625626 0.705706 0.889428 102 102 102 1.0
61 -0.503504 -0.385385 0.402038 102 102 102 1.0
62 0.321321 -0.547548 0.403056 102 102 102 1.0
63 0.699700 0.073073 0.494919 102 102 102 1.0
64 -0.485485 0.041041 0.237381 102 102 102 1.0
65 0.787788 0.811812 1.279648 102 102 102 1.0
66 -0.067067 -0.045045 0.006527 102 102 102 1.0
67 0.853854 -0.681682 1.193756 102 102 102 1.0
68 -0.801802 0.123123 0.658045 102 102 102 1.0
69 -0.081081 -0.029029 0.007417 102 102 102 1.0
70 -0.163163 -0.023023 0.027152 102 102 102 1.0
71 -0.037037 -0.939940 0.884859 102 102 102 1.0
72 -0.261261 -0.721722 0.589140 102 102 102 1.0
73 -0.391391 0.919920 0.999440 102 102 102 1.0
74 -0.495495 0.853854 0.974582 102 102 102 1.0
75 -0.617618 0.037037 0.382823 102 102 102 1.0
76 -0.683684 -0.447447 0.667633 102 102 102 1.0
77 0.011011 -0.637638 0.406703 102 102 102 1.0
78 -0.693694 -0.655656 0.911095 102 102 102 1.0
79 -0.463463 -0.345345 0.334062 102 102 102 1.0
80 -0.373373 -0.285285 0.220795 102 102 102 1.0
81 -0.805806 -0.645646 1.066181 102 102 102 1.0
82 0.579580 -0.993994 1.323937 102 102 102 1.0
83 0.891892 0.801802 1.438357 102 102 102 1.0
84 0.509510 -0.911912 1.091183 102 102 102 1.0
85 -0.735736 -0.581582 0.879544 102 102 102 1.0
86 -0.513514 -0.369369 0.400130 102 102 102 1.0
87 0.321321 0.453453 0.308867 102 102 102 1.0
88 0.149149 0.617618 0.403697 102 102 102 1.0
89 0.869870 -0.777778 1.361612 102 102 102 1.0
90 -0.515516 0.325325 0.371593 102 102 102 1.0
